STT,tên gọi,level min,level max,Mô tả cảnh giới,số lượng exp cần mỗi tầng,Bậc hệ số 10 mũ
1,Linh Hư,1,10,"1. Linh Hư 

Bước khởi đầu của tu luyện

Cảm nhận được linh khí trời đất và dẫn nhập vào cơ thể.
Kinh mạch bắt đầu được khai mở, tạp chất trong thân thể dần bị loại bỏ.
Tuổi thọ và thể chất vượt xa người thường.
Có thể thi triển một số pháp thuật cơ bản và sử dụng pháp khí cấp thấp.

Đặc điểm: Linh khí trong cơ thể còn phân tán, chưa hình thành nền tảng vững chắc.",100,0
2,Trúc Cơ,11,20,"2. Trúc Cơ 

Xây dựng nền móng đại đạo

Linh lực được cô đọng, hình thành đạo cơ vững chắc.
Kinh mạch, đan điền và thần thức được mở rộng đáng kể.
Có thể ngự khí phi hành trong thời gian ngắn.
Tuổi thọ tăng lên vài trăm năm.

Đặc điểm: Chất lượng đạo cơ quyết định tiềm năng tu luyện về sau.",100,1
3,Kim Đan,21,30,"3. Kim Đan 

Đan thành một hạt, đạo pháp tự sinh

Linh lực ngưng tụ thành Kim Đan trong đan điền.
Thực lực tăng vọt, đủ sức khai sơn phá thạch.
Có thể luyện chế pháp bảo và bố trí trận pháp quy mô lớn.
Tuổi thọ kéo dài hàng nghìn năm.

Đặc điểm: Kim Đan càng hoàn mỹ, cơ hội đột phá càng cao.",100,2
4,Nguyên Anh,31,40,"4. Nguyên Anh 

Nguyên thần sơ thành

Kim Đan phá vỡ, thai nghén ra Nguyên Anh.
Thần thức tăng mạnh, có thể quan sát phạm vi rộng lớn.
Dù thân xác bị hủy hoại vẫn có khả năng sống sót nhờ Nguyên Anh.
Có thể điều khiển nhiều pháp bảo cùng lúc.

Đặc điểm: Sức mạnh bắt đầu nghiêng về thần hồn thay vì thân thể.",100,3
5,Không Minh,41,50,"5. Không Minh 

Lĩnh ngộ hư không

Hiểu được quy luật không gian ở mức sơ cấp.
Có thể thực hiện dịch chuyển khoảng cách ngắn.
Thần thức dung nhập thiên địa, cảm nhận biến động từ xa.
Khả năng chiến đấu và sinh tồn tăng mạnh.

Đặc điểm: Bắt đầu tiếp xúc với lực lượng pháp tắc của thiên địa.",100,4
6,Độ kiếp,51,60,"6. Độ Kiếp

Đối mặt thiên đạo

Tu sĩ phải vượt qua thiên kiếp do trời đất giáng xuống.
Mỗi lần độ kiếp đều là khảo nghiệm sinh tử.
Sau khi vượt qua, linh lực và thần hồn được thiên địa tẩy luyện.
Có thể thao túng sức mạnh vượt xa cảnh giới trước.

Đặc điểm: Người thất bại sẽ hình thần câu diệt hoặc trọng thương đạo cơ.",100,5
7,Tịch điệt,61,70,"7. Tịch Diệt

Sinh tử quy nhất

Lĩnh ngộ chân ý hủy diệt và tái sinh.
Linh lực mang thuộc tính tịch diệt, có thể xóa bỏ sinh cơ của vạn vật.
Thần hồn đạt trạng thái bất động như núi.
Bắt đầu chạm tới bản chất của luân hồi.

Đặc điểm: Một ý niệm có thể ảnh hưởng tới thiên tượng và môi trường xung quanh.",100,6
8,Phân thần,71,80,"8. Phân Thần 

Thần hồn phân hóa

Nguyên thần có thể tách thành nhiều phân thân độc lập.
Phân thân có tư duy và năng lực tu luyện riêng.
Có thể đồng thời xuất hiện ở nhiều nơi.
Khả năng lĩnh ngộ đạo pháp tăng lên vượt bậc.

Đặc điểm: Rất khó bị tiêu diệt hoàn toàn nếu còn một phân thần tồn tại.",100,7
9,Hợp thể,81,90,"9. Hợp Thể

Vạn pháp quy nhất

Các phân thần hợp nhất cùng thân thể bản tôn.
Thân xác, linh lực và thần hồn đạt đến trạng thái hoàn mỹ.
Có thể dung hợp với thiên địa linh khí trong phạm vi rộng.
Một kích có thể hủy diệt cả thành trì hoặc dãy núi.

Đặc điểm: Bắt đầu thoát khỏi giới hạn của sinh linh thông thường.",100,8
10,Đại thừa,91,100,"10. Đại Thừa 

Cửa ngõ thành tiên

Đạo tâm viên mãn, pháp tắc đã lĩnh ngộ gần như hoàn chỉnh.
Có thể sáng tạo thần thông riêng và sửa đổi quy tắc trong phạm vi nhất định.
Tuổi thọ gần như vô tận nếu không gặp đại nạn.
Chỉ còn một bước cuối cùng để phi thăng tiên giới.

Đặc điểm: Được xem là tồn tại đỉnh cao của phàm giới, mỗi hành động đều ảnh hưởng tới vận mệnh một phương thiên địa.",100,9
